Week_ID,Date,Gas_Production_SCMD,Water_Production_m3_day,Pump_Trips,Workovers,Downtime_Hours,Estimated_Maintenance_Cost_INR,Estimated_Production_Loss_INR,Availability_Percent,MTBF_Hours,MTTR_Hours,Failure_Rate,Days_Since_Last_Workover,Fines_Proxy_Index,Data_Source
1,2024-06-03,2050,17.96,0,0,0.0,0,0,100.0,,,0,7,2.8,Synthetic - Demonstration Only
2,2024-06-10,2140,14.57,0,0,0.0,0,0,100.0,,,0,14,2.71,Synthetic - Demonstration Only
3,2024-06-17,2247,17.19,0,0,0.0,0,0,100.0,,,0,21,2.44,Synthetic - Demonstration Only
4,2024-06-24,2211,17.99,0,0,0.0,0,0,100.0,,,0,28,2.6,Synthetic - Demonstration Only
5,2024-07-01,2129,14.4,1,0,5.4,8891,18999,96.81,834.6,5.4,1,35,2.6,Synthetic - Demonstration Only
6,2024-07-08,1947,13.03,1,0,5.2,12961,16953,96.89,498.7,5.3,1,42,2.6,Synthetic - Demonstration Only
7,2024-07-15,2488,13.71,0,0,0.0,0,0,100.0,582.7,5.3,0,49,2.78,Synthetic - Demonstration Only
8,2024-07-22,1909,16.89,0,0,0.0,0,0,100.0,666.7,5.3,0,56,2.82,Synthetic - Demonstration Only
9,2024-07-29,2259,16.22,1,1,52.8,666272,198899,68.55,426.9,21.1,1,0,2.91,Synthetic - Demonstration Only
10,2024-08-05,1919,14.3,0,0,0.0,0,0,100.0,426.9,21.1,0,7,2.89,Synthetic - Demonstration Only
11,2024-08-12,2203,17.7,0,0,0.0,0,0,100.0,426.9,21.1,0,14,2.92,Synthetic - Demonstration Only
12,2024-08-19,2371,14.18,0,0,0.0,0,0,100.0,426.9,21.1,0,21,2.89,Synthetic - Demonstration Only
13,2024-08-26,2298,16.64,0,0,0.0,0,0,100.0,643.0,29.0,0,28,3.48,Synthetic - Demonstration Only
14,2024-09-02,2323,13.92,1,0,5.0,17828,19248,97.04,643.1,28.9,1,35,3.85,Synthetic - Demonstration Only
15,2024-09-09,1539,14.63,2,2,143.9,1099187,369223,14.32,285.6,50.4,2,0,4.14,Synthetic - Demonstration Only
16,2024-09-16,2418,13.25,0,0,0.0,0,0,100.0,285.6,50.4,0,7,4.22,Synthetic - Demonstration Only
17,2024-09-23,2290,15.95,0,0,0.0,0,0,100.0,398.4,49.6,0,14,4.51,Synthetic - Demonstration Only
18,2024-09-30,2229,13.9,1,1,64.4,881547,239359,61.65,282.7,53.3,1,0,4.76,Synthetic - Demonstration Only
19,2024-10-07,2497,16.3,0,0,0.0,0,0,100.0,282.7,53.3,0,7,4.94,Synthetic - Demonstration Only
20,2024-10-14,2353,17.43,1,0,4.4,10672,17117,97.4,225.3,43.5,1,14,4.91,Synthetic - Demonstration Only
21,2024-10-21,2383,14.61,0,0,0.0,0,0,100.0,225.3,43.5,0,21,5.12,Synthetic - Demonstration Only
22,2024-10-28,2477,17.76,0,0,0.0,0,0,100.0,282.8,53.2,0,28,5.06,Synthetic - Demonstration Only
23,2024-11-04,2332,15.26,1,0,4.9,9376,18943,97.1,423.4,24.6,1,35,5.36,Synthetic - Demonstration Only
24,2024-11-11,1936,13.69,4,1,98.0,907746,316289,41.65,167.5,24.5,4,0,5.54,Synthetic - Demonstration Only
25,2024-11-18,2216,14.02,0,0,0.0,0,0,100.0,167.5,24.5,0,7,5.45,Synthetic - Demonstration Only
26,2024-11-25,2214,13.28,0,0,0.0,0,0,100.0,206.1,17.9,0,14,6.06,Synthetic - Demonstration Only
27,2024-12-02,2284,13.31,1,0,4.2,11975,15798,97.53,176.1,15.9,1,21,6.26,Synthetic - Demonstration Only
28,2024-12-09,2275,17.25,2,0,9.6,22481,36285,94.3,153.4,14.6,2,28,6.48,Synthetic - Demonstration Only
29,2024-12-16,1901,13.04,0,0,0.0,0,0,100.0,153.4,14.6,0,35,6.53,Synthetic - Demonstration Only
30,2024-12-23,1990,16.24,1,0,4.6,12525,15413,97.23,135.9,13.5,1,42,6.63,Synthetic - Demonstration Only
31,2024-12-30,2150,16.05,0,0,0.0,0,0,100.0,153.5,14.5,0,49,6.59,Synthetic - Demonstration Only
32,2025-01-06,2073,15.94,3,0,14.4,44968,49659,91.44,187.3,4.7,3,56,6.47,Synthetic - Demonstration Only
